Column1;Column2;Column3;Column4
1;"""";O;1
1;Wingardium;B-SPELL;1
1;Leviosa;I-SPELL;1
1;!;O;1
1;"""";O;1
1;he;O;1
1;shouted;O;1
1;,;O;1
1;waving;O;1
1;his;O;1
1;long;O;1
1;arms;O;1
1;like;O;1
1;a;O;1
1;windwill;O;1
2;"""";O;2
2;It;O;2
2;APOS;O;2
2;Wing;B-SPELL;2
2;-;O;2
2;gar;I-SPELL;2
2;-;O;2
2;dium;I-SPELL;2
2;Levi;B-SPELL;2
2;-;O;2
2;o;I-SPELL;2
2;-;O;2
2;sa;I-SPELL;2
2;,;O;2
2;make;O;2
2;the;O;2
2;"""";O;2
2;gar;I-SPELL;2
2;"""";O;2
2;nice;O;2
2;and;O;2
2;long;O;2
2;".""";O;2
3;They;O;3
3;tugged;O;3
3;and;O;3
3;heaved;O;3
3;at ;O;3
3;the;O;3
3;door;O;3
3;,;O;3
3;but;O;3
3;it;O;3
3;wouldn;O;3
3;APOS;O;3
3;t;O;3
3;budge;O;3
3;,;O;3
3;not;O;3
3;even;O;3
3;when;O;3
3;Hermione;B-PER;3
3;tried;O;3
3;her;O;3
3;Alohomora;B-SPELL;3
3;charm;O;3
3;.;O;3
4;She;O;4
4;grabbed;O;4
4;Harry;B-PER;4
4;APOS;O;4
4;s;O;4
4;wand;B-ARTIFACT;4
4;,;O;4
4;tapped;O;4
4;the;O;4
4;lock;O;4
4;,;O;4
4;and;O;4
4;whispered;O;4
4;,;O;4
4;"""";O;4
4;Alohomora;B-SPELL;4
4;!;O;4
4;"""";O;4
5;"""";O;5
5;Lumos;B-SPELL;5
5;!;O;5
5;"""";O;5
5;Harry;B-PER;5
5;muttered;O;5
5;to ;O;5
5;his;O;5
5;wand;B-ARTIFACT;5
5;and;O;5
5;it;O;5
5;lit;O;5
5;again;O;5
5;.;O;5
6;Harry;B-PER;6
6;took;O;6
6;out;O;6
6;his;O;6
6;wand;B-ARTIFACT;6
6;,;O;6
6;murmured;O;6
6;,;O;6
6;"""";O;6
6;Lumos;B-SPELL;6
6;!;O;6
6;"""";O;6
6;and;O;6
6;a;O;6
6;tiny;O;6
6;light;O;6
6;appeared;O;6
6;at ;O;6
6;the;O;6
6;end;O;6
6;of;O;6
6;it;O;6
6;,;O;6
6;just;O;6
6;enough;O;6
6;to ;O;6
6;let;O;6
6;them;O;6
6;watch;O;6
6;the;O;6
6;path;O;6
6;for;O;6
6;232;O;6
6;signs;O;6
6;of;O;6
6;spiders;O;6
6;.;O;6
7;Snape;B-PER;7
7;cried;O;7
7;:;O;7
7;"""";O;7
7;Expelliarmus;B-SPELL;7
7;!;O;7
7;"""";O;7
8;He;O;8
8;pulled;O;8
8;out;O;8
8;his;O;8
8;wand;B-ARTIFACT;8
8;and;O;8
8;shouted;O;8
8;,;O;8
8;"""";O;8
8;Expelliarmus;B-SPELL;8
8;!;O;8
8;"""";O;8
8;and;O;8
8;just;O;8
8;as;O;8
8;Snape;B-PER;8
8;had;O;8
8;disarmed;O;8
8;Lockhart;B-PER;8
8;,;O;8
8;so;O;8
8;Malfoy;B-PER;8
8;found;O;8
8;the;O;8
8;diary;O;8
8;shooting;O;8
8;out;O;8
8;of;O;8
8;his;O;8
8;hand;O;8
8;into ;O;8
8;the;O;8
8;air;O;8
8;.;O;8
9;Lockhart;B-PER;9
9;had;O;9
9;barely;O;9
9;raised;O;9
9;his;O;9
9;,;O;9
9;when;O;9
9;Harry;B-PER;9
9;bellowed;O;9
9;,;O;9
9;"""";O;9
9;Expelliarmus;B-SPELL;9
9;!;O;9
9;"""";O;9
10;He;O;10
10;raised;O;10
10;Ron;B-PER;10
10;APOS;O;10
10;s;O;10
10;Spellotaped;O;10
10;wand;B-ARTIFACT;10
10;high;O;10
10;over;O;10
10;his;O;10
10;head;O;10
10;and;O;10
10;yelled;O;10
10;,;O;10
10;"""";O;10
10;Obliviate;B-SPELL;10
10;!;O;10
10;"""";O;10
11;Harry;B-PER;11
11;pointed;O;11
11;his;O;11
11;wand;B-ARTIFACT;11
11;straight;O;11
11;at ;O;11
11;Malfoy;B-PER;11
11;and;O;11
11;shouted;O;11
11;,;O;11
11;"""";O;11
11;Rictusembra;B-SPELL;11
11;!;O;11
11;"""";O;11
12;Malfoy;B-PER;12
12;raised;O;12
12;his;O;12
12;wand;B-ARTIFACT;12
12;quickly;O;12
12;and;O;12
12;bellowed;O;12
12;,;O;12
12;"""";O;12
12;Serpensortia;B-SPELL;12
12;!;O;12
12;"""";O;12
13;She;O;13
13;tapped;O;13
13;the;O;13
13;diary;O;13
13;three;O;13
13;times;O;13
13;and;O;13
13;said;O;13
13;,;O;13
13;"""";O;13
13;Aparecium;B-SPELL;13
13;!;O;13
13;"""";O;13
14;"""";O;14
14;Expecto;B-SPELL;14
14;patronum;I-SPELL;14
14;,;O;14
14;"""";O;14
14;Harry;B-PER;14
14;repeated;O;14
14;under;O;14
14;his;O;14
14;breath;O;14
14;,;O;14
14;"""";O;14
14;expecto;B-SPELL;14
14;patronum;I-SPELL;14
14;.;O;14
14;"""";O;14
15;A;O;15
15;wave;O;15
15;of;O;15
15;piercing;O;15
15;cold;O;15
15;broke;O;15
15;over;O;15
15;him;O;15
15;-;O;15
15;-;O;15
15;"""";O;15
15;Expecto;B-SPELL;15
15;patronum;I-SPELL;15
15;!;O;15
15;"""";O;15
15;Harry;B-PER;15
15;yelled;O;15
15;.;O;15
16;"""";O;16
16;EXPECTO;B-SPELL;16
16;PATRONUM;I-SPELL;16
16;!;O;16
16;"""";O;16
16;Harry;B-PER;16
16;bellowed;O;16
16;.;O;16
17;Plunging;O;17
17;a;O;17
17;hand;O;17
17;down;O;17
17;the;O;17
17;neck;O;17
17;of;O;17
17;his;O;17
17;robes;O;17
17;,;O;17
17;he;O;17
17;whipped;O;17
17;out;O;17
17;his;O;17
17;wand;B-ARTIFACT;17
17;and;O;17
17;roared;O;17
17;,;O;17
17;"""";O;17
17;Expecto;B-SPELL;17
17;patronum;I-SPELL;17
17;!;O;17
17;"""";O;17
18;"""";O;18
18;EXPECTO;B-SPELL;18
18;PATRONUM;I-SPELL;18
18;!;O;18
18;"""";O;18
18;Harry;B-PER;18
18;yelled;O;18
18;,;O;18
18;trying;O;18
18;to blot;O;18
18;the ;O;18
18;screaming;O;18
18;from;O;18
18;his;O;18
18;ears;O;18
18;.;O;18
19;He;O;19
19;hurried;O;19
19;over;O;19
19;to blot;O;19
19;Ron;B-PER;19
19;,;O;19
19;bent;O;19
19;down;O;19
19;,;O;19
19;tapped;O;19
19;Ron;B-PER;19
19;;O;19
19;s;O;19
19;leg;O;19
19;with;O;19
19;his;O;19
19;wand;B-ARTIFACT;19
19;,;O;19
19;and;O;19
